,end_date,Name,Market value,Share,symbol,revenues_x,op_income_x,net_income_x,eps_basic_x,eps_diluted_x,dividend_x,assets_x,cur_assets_x,cur_liab_x,cash_x,equity_x,cash_flow_op_x,cash_flow_inv_x,cash_flow_fin_x
501,201309,CHARTER COMMUNICATIONS INC D,262978,1951452,CHTR,2118000000.0,220000000.0,-70000000.0,-0.68,-0.68,0.0,17250000000.0,357000000.0,1382000000.0,41000000.0,61000000.0,1563000000.0,-1926000000.0,397000000.0
494,201312,CHARTER COMMUNICATIONS INC D,105924,774527,CHTR,8155000000.0,925000000.0,-169000000.0,-1.65,-1.65,0.0,17295000000.0,322000000.0,1467000000.0,21000000.0,151000000.0,2158000000.0,-2443000000.0,299000000.0
495,201409,CHARTER COMMUNICATIONS INC D,470127,3105814,CHTR,2287000000.0,218000000.0,-53000000.0,-0.49,-0.49,0.0,20950000000.0,370000000.0,1586000000.0,10000000.0,97000000.0,1729000000.0,-5165000000.0,3425000000.0
498,201412,CHARTER COMMUNICATIONS INC D,544686112,3269032,CHTR,9108000000.0,971000000.0,-183000000.0,-1.7,-1.7,0.0,24550000000.0,371000000.0,1635000000.0,3000000.0,146000000.0,2359000000.0,-9304000000.0,6927000000.0
497,201503,CHARTER COMMUNICATIONS INC D,642666,3327979,CHTR,2362000000.0,249000000.0,-81000000.0,-0.73,-0.73,0.0,24410000000.0,7502000000.0,8569000000.0,20000000.0,77000000.0,528000000.0,-441000000.0,-70000000.0
502,201506,CHARTER COMMUNICATIONS INC D,920865,5377312,CHTR,2430000000.0,269000000.0,-122000000.0,-1.09,-1.09,0.0,17319000000.0,456000000.0,1636000000.0,30000000.0,-31000000.0,1059000000.0,6242000000.0,-7274000000.0
503,201506,CHARTER COMMUNICATIONS INC D,522313,3050000,CHTR,2430000000.0,269000000.0,-122000000.0,-1.09,-1.09,0.0,17319000000.0,456000000.0,1636000000.0,30000000.0,-31000000.0,1059000000.0,6242000000.0,-7274000000.0
499,201509,CHARTER COMMUNICATIONS INC D,1151863,6550257,CHTR,2450000000.0,273000000.0,54000000.0,0.48,0.48,0.0,36873000000.0,406000000.0,1829000000.0,0.0,60000000.0,1748000000.0,-13865000000.0,12114000000.0
500,201509,CHARTER COMMUNICATIONS INC D,536343,3050000,CHTR,2450000000.0,273000000.0,54000000.0,0.48,0.48,0.0,36873000000.0,406000000.0,1829000000.0,0.0,60000000.0,1748000000.0,-13865000000.0,12114000000.0
493,201512,CHARTER COMMUNICATIONS INC D,865624,4727605,CHTR,9754000000.0,1114000000.0,-271000000.0,-2.43,-2.43,0.0,39316000000.0,345000000.0,1972000000.0,5000000.0,-46000000.0,2359000000.0,-17032000000.0,14675000000.0
492,201603,CHARTER COMMUNICATIONS INC D,928927,4588878,CHTR,2530000000.0,302000000.0,-188000000.0,-1.68,-1.68,0.0,40524000000.0,1612000000.0,1925000000.0,1278000000.0,-219000000.0,424000000.0,-536000000.0,1385000000.0
197,201606,CHARTER COMMUNICATIONS INC N,1095736,4792408,CHTR,6161000000.0,690000000.0,3067000000.0,16.73,15.17,0.0,149195000000.0,2325000000.0,8807000000.0,555000000.0,51032000000.0,2014000000.0,-8103000000.0,6639000000.0
198,201609,CHARTER COMMUNICATIONS INC N,1417371,5250106,CHTR,10037000000.0,924000000.0,189000000.0,0.7,0.69,0.0,148897000000.0,2781000000.0,8647000000.0,1165000000.0,51075000000.0,4815000000.0,-9905000000.0,6250000000.0
199,201612,CHARTER COMMUNICATIONS INC N,1357765,4715772,CHTR,29003000000.0,3355000000.0,3522000000.0,17.05,15.94,0.0,149067000000.0,3300000000.0,9572000000.0,1535000000.0,50366000000.0,8041000000.0,-11290000000.0,4779000000.0
202,201703,CHARTER COMMUNICATIONS INC N,1855981,5670234,CHTR,10164000000.0,941000000.0,155000000.0,0.58,0.57,0.0,149444000000.0,4666000000.0,9520000000.0,2920000000.0,49904000000.0,2843000000.0,-1712000000.0,254000000.0
195,201706,CHARTER COMMUNICATIONS INC N,1466588,4353832,CHTR,10357000000.0,1052000000.0,139000000.0,0.53,0.52,0.0,146960000000.0,2564000000.0,8123000000.0,694000000.0,46433000000.0,5788000000.0,-3555000000.0,-3074000000.0
200,201709,CHARTER COMMUNICATIONS INC N,1330354,3660652,CHTR,10458000000.0,909000000.0,48000000.0,0.19,0.19,0.0,148228000000.0,4132000000.0,10419000000.0,2164000000.0,42578000000.0,8696000000.0,-5883000000.0,-2184000000.0
201,201709,CHARTER COMMUNICATIONS INC N,254394,700000,CHTR,10458000000.0,909000000.0,48000000.0,0.19,0.19,0.0,148228000000.0,4132000000.0,10419000000.0,2164000000.0,42578000000.0,8696000000.0,-5883000000.0,-2184000000.0
196,201712,CHARTER COMMUNICATIONS INC N,580445,1727722,CHTR,41581000000.0,4106000000.0,9895000000.0,38.55,34.09,0.0,146623000000.0,2555000000.0,11090000000.0,621000000.0,47531000000.0,11954000000.0,-8098000000.0,-4770000000.0
673,201306,CANADIAN PAC RY LTD,19558,161132,CP,,,,,,,,,,,,,,
677,201309,CANADIAN PAC RY LTD,19868,161132,CP,,,,,,,,,,,,,,
671,201406,CANADIAN PAC RY LTD,635669,3509269,CP,,,,,,,,,,,,,,
672,201409,CANADIAN PAC RY LTD,727735,3507664,CP,,,,,,,,,,,,,,
676,201412,CANADIAN PAC RY LTD,690921982,3585666,CP,,,,,,,,,,,,,,
674,201503,CANADIAN PAC RY LTD,575005,3147265,CP,,,,,,,,,,,,,,
678,201806,CANADIAN PAC RY LTD,523726,2861578,CP,,,,,,,,,,,,,,
669,201809,CANADIAN PAC RY LTD,825877,3896747,CP,,,,,,,,,,,,,,
675,201812,CANADIAN PAC RY LTD,615608,3465872,CP,,,,,,,,,,,,,,
670,201903,CANADIAN PAC RY LTD,663300,3219436,CP,,,,,,,,,,,,,,
247,201506,CSX CORP,68183,2088300,CSX,3064000000.0,1017000000.0,553000000.0,0.56,0.56,0.18,33777000000.0,2669000000.0,1778000000.0,438000000.0,11577000000.0,1582000000.0,-1574000000.0,-239000000.0
248,201506,CSX CORP,90114,2760000,CSX,3064000000.0,1017000000.0,553000000.0,0.56,0.56,0.18,33777000000.0,2669000000.0,1778000000.0,438000000.0,11577000000.0,1582000000.0,-1574000000.0,-239000000.0
245,201509,CSX CORP,35809,1331200,CSX,2939000000.0,933000000.0,507000000.0,0.52,0.52,0.18,34015000000.0,2502000000.0,1922000000.0,541000000.0,11660000000.0,2512000000.0,-1951000000.0,-689000000.0
240,201512,CSX CORP,13865,534300,CSX,11811000000.0,3584000000.0,1968000000.0,2.0,2.0,0.7,35039000000.0,2966000000.0,1952000000.0,628000000.0,11668000000.0,3370000000.0,-2892000000.0,-519000000.0
249,201703,CSX CORP,669316,14378423,CSX,2869000000.0,712000000.0,362000000.0,0.39,0.39,0.18,35712000000.0,2660000000.0,2277000000.0,930000000.0,11669000000.0,1043000000.0,-286000000.0,-430000000.0
238,201706,CSX CORP,562779,10314868,CSX,2933000000.0,958000000.0,510000000.0,0.55,0.55,0.2,35861000000.0,2630000000.0,1672000000.0,620000000.0,11601000000.0,1566000000.0,-967000000.0,-582000000.0
242,201712,CSX CORP,626200,11383382,CSX,11408000000.0,3667000000.0,5471000000.0,6.01,5.99,0.78,35739000000.0,1915000000.0,1894000000.0,401000000.0,14721000000.0,3472000000.0,-1495000000.0,-2179000000.0
244,201803,CSX CORP,744860,13370307,CSX,2876000000.0,1044000000.0,695000000.0,0.78,0.78,0.22,37439000000.0,3542000000.0,1891000000.0,1980000000.0,14391000000.0,966000000.0,-316000000.0,929000000.0
